Дата обращения;Канал;Тема;Регион;Оценка;Время решения, ч;Решено
19.02.2026;Телефон;Доставка;Сибирь;4;9,5;Да
24.04.2026;Мобильное приложение;Техподдержка;СПб;5;52,6;Да
11.06.2026;Почта;Оплата;СПб;2;39,4;Да
23.04.2026;Мобильное приложение;Доставка;Сибирь;5;23,1;Да
30.03.2026;Чат;Возврат;Юг;1;13,5;Нет
19.03.2026;Мобильное приложение;Техподдержка;Сибирь;4;59,2;Да
10.06.2026;Почта;Оплата;Сибирь;3;31,9;Да
16.06.2026;Мобильное приложение;Бонусы;Сибирь;3;44,6;Нет
17.05.2026;Мобильное приложение;Доставка;Юг;1;61,2;Да
05.05.2026;Мобильное приложение;Техподдержка;СПб;2;61,6;Да
24.05.2026;Почта;Оплата;СПб;2;45,1;Да
27.04.2026;Телефон;Возврат;Юг;2;58,6;Да
01.01.2026;Почта;Техподдержка;Юг;4;43,2;Да
17.03.2026;Чат;Техподдержка;Сибирь;5;35,9;Нет
29.03.2026;Чат;Оплата;СПб;5;2,8;Да
30.03.2026;Телефон;Доставка;Москва;4;11,6;Да
13.02.2026;Почта;Бонусы;СПб;4;51,3;Да
03.01.2026;Чат;Возврат;СПб;5;20,8;Да
31.03.2026;Почта;Бонусы;Урал;2;32,9;Нет
15.01.2026;Мобильное приложение;Техподдержка;Москва;5;6,1;Да
18.04.2026;Почта;Возврат;Москва;1;13,2;Да
15.04.2026;Телефон;Техподдержка;Урал;2;49,5;Нет
11.01.2026;Почта;Возврат;СПб;4;65,4;Да
16.04.2026;Телефон;Доставка;Сибирь;3;69,8;Да
09.04.2026;Почта;Возврат;Юг;5;11,7;Да
01.01.2026;Чат;Доставка;Урал;3;14,3;Нет
16.05.2026;Мобильное приложение;Доставка;Урал;3;71,3;Нет
24.01.2026;Чат;Техподдержка;Москва;2;62,9;Да
02.04.2026;Почта;Возврат;Урал;5;55,8;Да
14.06.2026;Почта;Бонусы;Москва;3;71,0;Да
04.06.2026;Почта;Доставка;СПб;4;47,1;Да
16.06.2026;Чат;Бонусы;СПб;3;62,7;Да
25.04.2026;Чат;Оплата;Москва;5;41,2;Да
18.06.2026;Мобильное приложение;Оплата;Сибирь;5;42,2;Да
21.03.2026;Почта;Доставка;Сибирь;2;18,8;Да
02.05.2026;Мобильное приложение;Возврат;Сибирь;2;11,9;Нет
22.01.2026;Чат;Возврат;Москва;5;48,5;Да
23.05.2026;Мобильное приложение;Техподдержка;Москва;5;28,4;Нет
19.03.2026;Почта;Бонусы;Урал;1;33,6;Да
19.01.2026;Почта;Техподдержка;Москва;3;39,3;Да
01.06.2026;Почта;Возврат;СПб;5;49,0;Да
15.04.2026;Телефон;Оплата;Сибирь;1;10,9;Да
17.06.2026;Телефон;Доставка;Юг;2;38,5;Да
13.02.2026;Мобильное приложение;Бонусы;Урал;1;64,7;Да
23.02.2026;Мобильное приложение;Техподдержка;СПб;1;3,6;Да
24.05.2026;Почта;Доставка;СПб;4;13,5;Да
19.01.2026;Мобильное приложение;Бонусы;СПб;2;17,3;Нет
13.03.2026;Мобильное приложение;Оплата;СПб;5;21,8;Да
18.01.2026;Чат;Доставка;Сибирь;1;32,5;Да
28.01.2026;Чат;Доставка;Сибирь;3;50,3;Нет
07.01.2026;Почта;Оплата;Урал;2;36,3;Да
31.01.2026;Мобильное приложение;Бонусы;Сибирь;2;16,5;Да
26.01.2026;Чат;Техподдержка;Урал;1;43,5;Да
02.03.2026;Мобильное приложение;Доставка;Москва;1;66,9;Да
14.02.2026;Чат;Возврат;Сибирь;3;34,0;Нет
16.03.2026;Телефон;Оплата;Юг;5;41,4;Да
02.04.2026;Почта;Оплата;Москва;2;18,9;Да
14.03.2026;Мобильное приложение;Оплата;Урал;4;3,9;Да
09.02.2026;Почта;Доставка;Москва;3;56,4;Да
20.05.2026;Мобильное приложение;Доставка;Урал;3;6,2;Да
06.05.2026;Телефон;Техподдержка;Юг;1;44,3;Да
24.06.2026;Чат;Доставка;СПб;5;52,2;Нет
29.04.2026;Почта;Доставка;СПб;5;0,5;Да
10.05.2026;Мобильное приложение;Возврат;Урал;5;58,1;Нет
12.05.2026;Почта;Техподдержка;Сибирь;4;57,0;Да
21.01.2026;Почта;Оплата;Москва;4;44,1;Да
29.04.2026;Почта;Оплата;СПб;4;60,4;Нет
11.02.2026;Телефон;Бонусы;Урал;4;15,5;Нет
18.03.2026;Телефон;Бонусы;Юг;3;5,6;Да
11.01.2026;Телефон;Техподдержка;Урал;5;28,2;Нет
21.04.2026;Телефон;Доставка;Москва;4;69,2;Нет
26.04.2026;Телефон;Доставка;СПб;2;46,5;Да
23.06.2026;Почта;Возврат;Москва;3;26,3;Да
16.06.2026;Почта;Техподдержка;Юг;1;15,0;Да
06.03.2026;Телефон;Оплата;СПб;3;42,0;Да
03.05.2026;Мобильное приложение;Оплата;Урал;1;22,0;Да
20.06.2026;Мобильное приложение;Доставка;СПб;4;54,6;Да
18.01.2026;Телефон;Оплата;СПб;1;18,0;Да
22.03.2026;Мобильное приложение;Бонусы;Москва;4;16,5;Да
29.03.2026;Телефон;Техподдержка;СПб;4;12,8;Да
13.02.2026;Почта;Возврат;Сибирь;3;64,8;Да
24.04.2026;Телефон;Возврат;СПб;3;16,5;Да
01.05.2026;Почта;Бонусы;Урал;5;21,1;Да
12.04.2026;Телефон;Доставка;Москва;1;64,6;Да
06.03.2026;Почта;Доставка;СПб;2;70,2;Да
29.06.2026;Чат;Доставка;Юг;3;57,1;Да
20.01.2026;Чат;Техподдержка;Москва;2;56,9;Да
13.01.2026;Почта;Техподдержка;Юг;3;38,8;Да
28.05.2026;Мобильное приложение;Бонусы;Москва;3;51,0;Да
28.06.2026;Почта;Бонусы;Урал;2;40,9;Да
20.02.2026;Почта;Оплата;Урал;1;36,9;Да
28.03.2026;Чат;Оплата;Юг;1;60,1;Да
01.01.2026;Чат;Возврат;Юг;3;13,1;Нет
23.06.2026;Чат;Доставка;Юг;5;71,0;Да
28.06.2026;Почта;Возврат;Урал;1;57,0;Да
27.05.2026;Телефон;Возврат;Сибирь;1;60,9;Да
05.05.2026;Мобильное приложение;Возврат;Юг;3;15,3;Нет
20.01.2026;Телефон;Оплата;Урал;1;56,8;Да
04.06.2026;Чат;Бонусы;Урал;2;19,9;Нет
29.06.2026;Телефон;Техподдержка;СПб;1;27,3;Да
14.03.2026;Почта;Доставка;Юг;1;16,2;Да
14.02.2026;Чат;Доставка;Сибирь;1;30,2;Нет
15.04.2026;Мобильное приложение;Доставка;Москва;3;55,3;Да
12.05.2026;Почта;Оплата;СПб;5;17,6;Нет
04.06.2026;Мобильное приложение;Бонусы;Москва;4;33,5;Да
12.02.2026;Почта;Оплата;Юг;1;18,3;Нет
22.03.2026;Почта;Бонусы;Москва;1;41,7;Да
06.02.2026;Телефон;Возврат;Урал;3;32,4;Да
12.05.2026;Почта;Возврат;Москва;3;31,1;Да
16.06.2026;Почта;Доставка;СПб;4;14,9;Да
17.01.2026;Телефон;Оплата;Сибирь;4;43,2;Да
19.06.2026;Мобильное приложение;Бонусы;Урал;3;26,7;Да
12.05.2026;Мобильное приложение;Бонусы;Москва;2;42,3;Да
22.03.2026;Почта;Оплата;СПб;3;36,3;Нет
08.03.2026;Почта;Возврат;СПб;1;36,5;Нет
23.01.2026;Почта;Бонусы;Юг;4;67,6;Да
29.05.2026;Телефон;Возврат;Москва;2;63,1;Да
23.05.2026;Чат;Техподдержка;Урал;3;65,2;Да
31.05.2026;Почта;Возврат;Юг;5;38,7;Да
06.04.2026;Почта;Доставка;Юг;3;52,9;Нет
03.06.2026;Почта;Техподдержка;Урал;1;6,1;Да
20.04.2026;Мобильное приложение;Техподдержка;Сибирь;5;32,2;Да
30.04.2026;Почта;Оплата;Юг;2;59,5;Да
13.01.2026;Телефон;Оплата;Юг;3;32,6;Нет
31.05.2026;Почта;Оплата;Москва;2;22,5;Нет
19.03.2026;Мобильное приложение;Доставка;Сибирь;3;28,9;Да
21.02.2026;Мобильное приложение;Доставка;СПб;5;67,1;Да
03.02.2026;Телефон;Возврат;Урал;3;47,4;Да
11.05.2026;Мобильное приложение;Оплата;Урал;4;50,5;Да
02.03.2026;Телефон;Техподдержка;Москва;3;5,7;Да
07.04.2026;Телефон;Техподдержка;СПб;4;68,1;Да
29.01.2026;Мобильное приложение;Техподдержка;Урал;3;2,7;Да
31.01.2026;Телефон;Бонусы;Юг;5;26,0;Да
24.06.2026;Телефон;Бонусы;Юг;5;51,2;Да
02.05.2026;Почта;Бонусы;Москва;4;67,0;Нет
18.06.2026;Телефон;Оплата;Юг;3;24,1;Да
14.04.2026;Чат;Возврат;Юг;3;44,0;Нет
29.01.2026;Чат;Бонусы;Юг;5;18,0;Да
26.05.2026;Почта;Доставка;Юг;2;38,3;Да
22.01.2026;Мобильное приложение;Бонусы;Сибирь;1;68,9;Да
27.06.2026;Чат;Бонусы;Сибирь;4;61,3;Да
04.04.2026;Чат;Бонусы;Урал;1;53,7;Нет
07.04.2026;Чат;Доставка;Урал;4;14,7;Да
06.04.2026;Почта;Оплата;Москва;3;23,2;Да
15.05.2026;Мобильное приложение;Доставка;Юг;5;23,4;Да
31.03.2026;Мобильное приложение;Техподдержка;Сибирь;5;29,3;Да
07.04.2026;Почта;Бонусы;Урал;4;50,4;Да
05.01.2026;Телефон;Техподдержка;Сибирь;5;64,8;Да
29.01.2026;Почта;Техподдержка;Юг;5;19,8;Да
25.05.2026;Телефон;Техподдержка;Сибирь;4;39,3;Да
07.05.2026;Телефон;Оплата;СПб;2;47,0;Нет
04.04.2026;Мобильное приложение;Бонусы;СПб;3;37,9;Да
20.02.2026;Чат;Возврат;Москва;5;29,8;Да
19.01.2026;Чат;Техподдержка;Юг;2;51,0;Нет
10.01.2026;Телефон;Возврат;СПб;5;58,9;Да
